Item,Category,Taste_Profile,Temperature,Health_Level,Ingredient_Type,Calories_Est,Dietary_Tags
Grilled Chicken,Main Dishes,Savoury,Hot,Healthy,Protein-Poultry,Medium (300-400),"High-Protein, Low-Carb, Gluten-Free"
Pasta Alfredo,Main Dishes,Savoury-Creamy,Hot,Indulgent,Carb-Pasta,High (600-800),"Vegetarian, High-Carb, Contains Dairy"
Salmon,Main Dishes,Savoury,Hot,Healthy,Protein-Seafood,Medium (350-450),"High-Protein, Omega-3 Rich, Gluten-Free"
Steak,Main Dishes,Savoury,Hot,Indulgent,Protein-Red Meat,High (500-700),"High-Protein, Iron-Rich, Gluten-Free"
Vegetarian Platter,Main Dishes,Savoury,Hot,Healthy,Plant-Based,Low-Medium (250-350),"Vegetarian, Vegan-Option, High-Fiber"
Beef Chili,Starters,Savoury-Spicy,Hot,Indulgent,Protein-Red Meat,Medium-High (300-400),"High-Protein, Spicy, Gluten-Free"
Cheese Fries,Starters,Savoury-Cheesy,Hot,Indulgent,Carb-Fried,High (400-500),"Vegetarian, Contains Dairy, High-Fat"
Chicken Melt,Starters,Savoury-Cheesy,Hot,Indulgent,Protein-Poultry,Medium-High (350-450),"High-Protein, Contains Dairy"
French Fries,Starters,Savoury,Hot,Indulgent,Carb-Fried,Medium-High (300-400),"Vegan, Gluten-Free-Option, High-Fat"
Nachos Grande,Starters,Savoury-Spicy,Hot,Indulgent,Carb-Fried,High (500-700),"Shareable, Contains Dairy, Spicy"
Sweet Potato Fries,Starters,Savoury-Sweet,Hot,Moderate,Carb-Fried,Medium (250-350),"Vegan, Higher-Fiber, Vitamin A Rich"
Garlic Bread,Side Dishes,Savoury,Hot,Moderate,Carb-Bread,Medium (200-300),"Vegetarian, Contains Gluten, Contains Dairy"
Grilled Vegetables,Side Dishes,Savoury,Hot,Healthy,Plant-Based,Low (80-150),"Vegan, Gluten-Free, Low-Calorie"
Mashed Potatoes,Side Dishes,Savoury-Creamy,Hot,Moderate,Carb-Potato,Medium (200-300),"Vegetarian, Gluten-Free, Comfort Food"
Onion Rings,Side Dishes,Savoury,Hot,Indulgent,Carb-Fried,Medium-High (300-400),"Vegetarian, Contains Gluten, High-Fat"
Side Salad,Side Dishes,Fresh,Cold,Healthy,Plant-Based,Low (50-100),"Vegan, Gluten-Free, Low-Calorie"
Brownie,Desserts,Sweet,Room Temp,Indulgent,Sweet-Chocolate,High (350-450),"Vegetarian, Contains Gluten, High-Sugar"
Cheesecake,Desserts,Sweet-Creamy,Cold,Indulgent,Sweet-Dairy,High (400-500),"Vegetarian, Contains Dairy, High-Fat"
Chocolate Cake,Desserts,Sweet,Room Temp,Indulgent,Sweet-Chocolate,High (400-500),"Vegetarian, Contains Gluten, High-Sugar"
Fruit Salad,Desserts,Sweet-Fresh,Cold,Healthy,Sweet-Fruit,Low (80-150),"Vegan, Gluten-Free, Natural Sugars"
Ice Cream,Desserts,Sweet-Creamy,Cold,Indulgent,Sweet-Dairy,Medium-High (250-350),"Vegetarian, Contains Dairy, High-Sugar"
Coca Cola,Drinks,Sweet,Cold,Indulgent,Beverage-Soda,Medium (140-200),"Vegan, Gluten-Free, High-Sugar"
Iced Tea,Drinks,Refreshing,Cold,Moderate,Beverage-Tea,Low-Medium (70-120),"Vegan, Gluten-Free, Caffeinated"
Lemonade,Drinks,Sweet-Sour,Cold,Moderate,Beverage-Juice,Medium (100-150),"Vegan, Gluten-Free, Vitamin C"
Orange Juice,Drinks,Sweet-Fresh,Cold,Healthy,Beverage-Juice,Medium (110-140),"Vegan, Gluten-Free, Vitamin C Rich"
Water,Drinks,Neutral,Cold,Healthy,Beverage-Water,Zero (0),"Vegan, Gluten-Free, Zero-Calorie"
Unknown,Various,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
